Aa en Hunze;20,8;22,2;23,8;24,7;24,7;24,8;24,9;25,2;25,4
Aalburg;21,3;22,5;24,5;25,3;24,5;25,2;24,8;25,4;25,3
Aalsmeer;23,2;24,9;26,6;27,3;27,3;27,2;27,4;28,1;28,2
Aalten;19,7;20,2;21,9;22,6;22,1;22,3;22,5;23,1;23,1
Ter Aar;22,5;;;;;;;;
Abcoude;30;32,8;36,5;36,8;34,8;;;;
Achtkarspelen;18,2;19,4;20,5;21,1;20,9;20,7;21;21;21,1
Alblasserdam;20,4;21,4;23,1;23,7;24;23,9;24;24,3;24,5
Albrandswaard;23,9;25,3;27,1;28,2;28,3;28,2;28,1;28,5;29,1
Alkemade;22;24;26,1;;;;;;
Alkmaar;20;21,2;22,5;23,2;23,5;23,5;23,6;23,7;23,9
Almelo;18,6;19,7;20,8;21,4;21,4;21,5;21,6;21,8;21,9
Almere;20,1;21,3;22,7;23,3;23,5;23,6;23,7;23,7;23,9
Alphen aan den Rijn;22,1;23,4;25,2;25,8;25,7;25,6;25,6;25,9;26,2
Alphen-Chaam;22,6;24,1;26,1;26,2;26,7;26,3;26,9;27,2;27,4
Ambt Montfort;20,1;;;;;;;;
Ameland;18,8;19,4;21,8;22,5;22;22;21,7;22,1;22,5
Amerongen;;;;;;;;;
Amersfoort;21,8;23,2;24,9;25,4;25,7;25,6;25,7;25,9;26,1
Amstelveen;25,1;25,9;28,1;28,8;28,5;28,5;28,4;29;29
Amsterdam;19,3;20,5;22;22,8;22,8;22,8;23;23,3;23,5
Andijk;20,9;22,4;24,9;24,7;23,7;;;;
Anna Paulowna;19,6;21,1;22,6;22,9;23,2;23,6;;;
Apeldoorn;20,7;21,9;23,6;24,1;24,4;24,4;24,3;24,6;24,7
Appingedam;18,5;19,3;20,7;21,3;21,3;21,5;21,6;21,7;22
Arcen en Velden;21,2;22,1;23,7;24,2;;;;;
Arnhem;18,6;19,7;21;21,5;21,9;21,9;22,1;22,3;22,3
Assen;19,4;20,4;21,5;22,3;22,6;22,6;22,7;22,9;23,1
Asten;21,7;22,4;24,1;23,9;24,2;24,5;24,5;25,1;25
Baarle-Nassau;21,3;21,8;23,8;24;24,2;24,5;24,8;25;25
Baarn;23;24,6;26,5;27,3;27,8;27,7;27,7;28,3;28,2
Barendrecht;23,7;24,9;26,7;27,5;27,6;27,6;27,6;27,9;28,2
Barneveld;21,4;22,3;24,3;24,6;24,4;24,3;24,1;24,6;24,4
Bedum;19,8;20,5;21,9;22,7;22,7;22,8;23,2;23,4;23,7
Beek (L.);20,9;22,1;23,6;24,5;24,6;24,7;25,1;25,2;25,5
Beemster;23,9;24,6;27,3;27,9;27,2;28,2;28;28,9;28,4
Beesel;19,6;20,8;22,4;22,7;22,5;22,7;22,9;23,5;23,4
Bellingwedde;17,9;18,9;20,8;21,5;21,4;21,5;21,7;22,4;22,7
Bennebroek;27,1;27,7;30,9;;;;;;
Bergambacht;22,3;23,5;25,8;26,8;26,9;26,8;26,5;26,8;27,2
Bergeijk;22,1;23,4;25,5;26,2;25,1;25,4;25,7;25,7;26,1
Bergen (L.);19,7;20,6;21,8;22,3;22,9;23;23,1;23,7;23,8
Bergen (NH.);24;25;28;28;27,8;27,9;27,5;28,5;28,4
Bergen op Zoom;20,2;21;22,6;23,2;23,7;23,6;23,8;23,9;24
Bergschenhoek;24,8;;;;;;;;
Berkel en Rodenrijs;23,7;;;;;;;;
Berkelland;20,3;21,1;22,6;23,7;23,2;23,5;23,7;24;24,1
Bernheze;22;23,4;25,3;25,6;25,5;25,6;25,5;25,9;26,2
Bernisse;22,5;24;26,3;26,5;27,5;27,4;27,4;27,9;28,1
Best;22,2;23,5;25,5;25,9;26,3;26,1;26,4;26,9;27
Beuningen;21,7;22,6;24,5;25,1;25,4;25,4;25,4;25,8;25,9
Beverwijk;20,5;21,5;23;23,3;23,5;23,4;23,6;23,7;23,8
het Bildt;18,2;19,3;20,3;21,4;20,4;20,5;21,3;20,8;21,2
De Bilt;26;27,5;30,7;31,3;31,1;30,8;30,6;31,2;31,3
Binnenmaas;23,5;24,3;27;27,2;26,9;26,6;26,6;27,2;27,6
Bladel;21,3;22,7;24,3;25,1;25;24,8;24,9;25,5;25,4
Blaricum;33;35,6;41,7;40,5;38,1;37,9;35,2;37,7;37,1
Bleiswijk;24,1;;;;;;;;
Bloemendaal;34;37,1;41,3;39,6;38,8;38,5;37,3;39,2;39,5
Boarnsterhim;19,7;21,9;22,9;24,3;23,5;23,6;23,9;24,3;
Bodegraven;22,1;23,8;26,2;26,2;26,2;;;;
Bodegraven-Reeuwijk;;;;;;27,7;27,5;27,8;27,9
Boekel;20,7;21,5;23,3;24,6;23,4;24,1;23,6;24,6;24,5
Ten Boer;19,4;20,7;21,7;22,6;22,5;22,9;23,4;23,2;23,5
Bolsward;19,3;19,8;20,2;21;21,5;;;;
Borger-Odoorn;19,1;20,4;21,8;22,5;22,8;22,7;23;23,2;23,5
Borne;20,9;22,4;24;24,9;24,2;24,2;24,7;25,3;25,3
Borsele;20,6;21,8;23,9;24,3;24,1;24,3;24,7;25,1;25,2
Boskoop;22;23;24,9;25,8;25,9;25,7;25,7;26;
Boxmeer;20,9;22,9;24,5;25,1;24,8;24,7;25,1;25,6;25,9
Boxtel;21,2;22,5;24,1;24,4;24,6;24,6;24,7;24,9;25
Breda;21,1;22,2;24;24,5;24,8;24,7;24,7;25,1;25,2
Breukelen;23,7;25;27,9;28,1;28,1;;;;
Brielle;22,5;24;25,7;26,7;26,4;26,9;26,8;27,2;27,9
Bronckhorst;21,5;22,5;24,2;24,9;24,2;24,4;24,5;24,9;25,1
Brummen;21,3;22,5;24,2;24,6;24,5;24,6;24,7;24,8;25,2
Brunssum;18,4;19,5;20,3;21;21,1;21,2;21,4;21,6;21,8
Bunnik;25,4;26,4;28,8;29,8;29,2;29;29,1;29,4;29,9
Bunschoten;21,1;22,9;24,9;24,9;25,4;25,3;25,4;25,9;25,4
Buren;22,1;23,5;25,6;26;25,8;26,3;26,2;26,6;26,5
Bussum;27,4;28,2;31,4;32,4;31,2;31,4;30,8;31,8;32,2
Capelle aan den IJssel;21,8;22,7;24,1;24,6;25,1;24,8;24,8;24,9;24,9
Castricum;23,9;25,2;27,6;27,5;28,3;28;28;28,4;28,6
